FOOD SERVICES & DRINKING PLACES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC
2010     0.942     0.924     1.026     1.019     1.055     1.014     1.051     1.023     0.975     1.017     0.943     1.007
2011     0.931     0.926     1.036     1.028     1.048     1.013     1.043     1.016     0.985     1.006     0.940     1.025
2012     0.924     0.953     1.063     1.009     1.050     1.031     1.019     1.028     0.976     0.997     0.954     1.017
2013     0.926     0.925     1.056     1.019     1.060     1.017     1.011     1.039     0.963     1.002     0.969     1.006
2014     0.935     0.924     1.051     1.012     1.074     1.004     1.013     1.036     0.962     1.011     0.959     1.007
2015     0.947     0.923     1.043     1.014     1.071     1.006     1.020     1.015     0.969     1.024     0.949     1.015
2016     0.943     0.951     1.036     1.039     1.051     1.007     1.031     1.008     0.981     1.008     0.946     1.039
2017     0.923     0.920     1.049     1.021     1.048     1.025     1.022     1.017     0.987     0.999     0.945     1.033
2018     0.919     0.919     1.055     1.014     1.054     1.035     1.018     1.029     0.976     0.995     0.954     1.019
2019     0.922     0.917     1.057     1.008     1.064     1.028     1.018     1.047     0.964     1.000     0.964     0.999
2020     0.928     0.956     1.037     1.007     1.077     1.022     1.034     1.026     0.971     1.021     0.938     0.999
2021     0.936     0.917     1.034     1.022     1.066     1.021     1.049     1.021     0.971     1.018     0.936     1.006
2022     0.924     0.918     1.040     1.028     1.061     1.021     1.049     1.020     0.985     1.003     0.935     1.021
2023     0.915     0.919     1.051     1.017     1.055     1.039     1.036     1.025     0.989     0.996     0.936     1.018
2024     0.912     0.952     1.052     1.010     1.070     1.033     1.023     1.050     0.968     0.998     0.961     0.991
2025     0.924     0.919     1.046     1.002     1.083     1.022     1.027     1.048     0.968     1.007     0.950     0.990
2026     0.936                                                                                                              
